,solutes,solvents,solubility_param
712,I,Methyl_isobutyl_carbinol,1
713,I,Propylene_glycol,1
714,I,Ethylene_glycol,6
715,I,1_3-Butandiol,5
716,I,Glycerol,6
717,I,Cyclohexanol,1
718,I,m-Cresol,1
719,I,Ethyl_lactate,1
720,I,n-Butyl_lactate,1
721,I,Diethylene_glycol,4
722,I,Dipropylene_glycol,1
723,I,2-Butoxyethanol,1
724,I,Methyl_dioxitol,1
725,I,Butyl_dioxitol,1
726,I,Oxitole,1
727,I,Diacetone_alcohol,1
728,I,Cellusolve_acetate,5
729,I,Methyl_Cellusolve,1
730,I,Diethyl_ether,6
731,I,Furan,3
732,I,Dioxane,6
733,I,Methylal,6
734,I,Diethyl_sulfide,5
735,I,Carbon_disulfide,5
736,I,Dimethyl_sulphoxide,1
737,I,Propylene_carbonate,6
738,I,gamma_Butyrolactone,1
739,I,Acetone,6
740,I,Methyl_ethyl_ketone,6
741,I,Methyl_isobutyl_ketone,6
742,I,Methyl_isoamyl_ketone,6
743,I,Diisobutyl_ketone,6
744,I,Isophorone,1
745,I,Acetophenone,1
746,I,Cyclohexanone,1
747,I,Tetrahydrofuran,1
748,I,Mesityl_oxide,5
749,I,Ethyl_acetate,6
750,I,n-Butyl_acetate,6
751,I,Isoamyl_acetate,5
752,I,Isobutyl_isobutyrate,5
753,I,Acetonitrile,6
754,I,Butyronitrite,5
755,I,Nitromethane,5
756,I,Nitroethane,6
757,I,2-Nitropropane,6
758,I,Aniline,1
759,I,Nitrobenzene,1
760,I,Ethanolamine,5
761,I,Dimethyl_formamide,1
762,I,Dipropyl_amine,6
763,I,Diethyl_amine,4
764,I,Morpholine,1
765,I,Cyclohexylamine,1
766,I,Pyridine,1
767,I,Carbon_terachloride,6
768,I,Chloroform,1
769,I,Ethylen_chloride,1
770,I,Methylene_chloride,1
771,I,1_1_1-Trichloroethane,6
772,I,1-Chlorobutane,3
773,I,Trichloroethylene,1
774,I,2_2-Dichloro_diethyl_ether,5
775,I,Chlorobenzene,1
776,I,o-Dichlorobenzene,2
777,I,alpha-bromonaphtaline,6
778,I,Cyclohexylchloride,5
779,I,Benzene,5
780,I,Toluene,2
781,I,Xylene,5
782,I,Ethyl_benzene,4
783,I,Styrene,3
784,I,Tetralin,5
785,I,Hexane,6
786,I,Cyclohexane,6
787,I,Acetic_acid,1
788,I,Formic_acid_90,1
789,I,Butyric_acid,1
790,I,Benzaldehyde,1
791,I,Acetic_anhydride,1
792,J,Methanol ,1
793,J,Ethanol_96,6
794,J,Ethanol_99p9,3
795,J,n-Propanol,6
796,J,n-Butanol,6
797,J,Pentanol-1,6
798,J,2-Ethyl_butanol,6
799,J,2-Ethyl_hexanol,6
800,J,Methyl_isobutyl_carbinol,6
801,J,Propylene_glycol,6
802,J,Ethylene_glycol,6
803,J,1_3-Butandiol,6
804,J,Glycerol,6
805,J,Cyclohexanol,6
806,J,m-Cresol,5
807,J,Ethyl_lactate,1
808,J,n-Butyl_lactate,1
809,J,Diethylene_glycol,1
810,J,Dipropylene_glycol,1
811,J,2-Butoxyethanol,1
812,J,Methyl_dioxitol,1
813,J,Butyl_dioxitol,1
814,J,Oxitole,1
815,J,Diacetone_alcohol,1
816,J,Cellusolve_acetate,1
817,J,Methyl_Cellusolve,1
818,J,Diethyl_ether,6
819,J,Furan,6
820,J,Dioxane,6
821,J,Methylal,1
822,J,Diethyl_sulfide,6
823,J,Carbon_disulfide,6
824,J,Dimethyl_sulphoxide,1
825,J,Propylene_carbonate,1
826,J,gamma_Butyrolactone,1
827,J,Acetone,1
828,J,Methyl_ethyl_ketone,1
829,J,Methyl_isobutyl_ketone,1
830,J,Methyl_isoamyl_ketone,1
831,J,Diisobutyl_ketone,1
832,J,Isophorone,1
833,J,Acetophenone,1
834,J,Cyclohexanone,1
835,J,Tetrahydrofuran,1
836,J,Mesityl_oxide,1
837,J,Ethyl_acetate,1
838,J,n-Butyl_acetate,1
839,J,Isoamyl_acetate,1
840,J,Isobutyl_isobutyrate,1
841,J,Acetonitrile,1
842,J,Butyronitrite,1
843,J,Nitromethane,1
844,J,Nitroethane,1
845,J,2-Nitropropane,1
846,J,Aniline,3
847,J,Nitrobenzene,1
848,J,Ethanolamine,3
849,J,Dimethyl_formamide,1
850,J,Dipropyl_amine,5
851,J,Diethyl_amine,3
852,J,Morpholine,1
853,J,Cyclohexylamine,3
854,J,Pyridine,1
855,J,Carbon_terachloride,6
856,J,Chloroform,6
857,J,Ethylen_chloride,6
858,J,Methylene_chloride,6
859,J,1_1_1-Trichloroethane,6
860,J,1-Chlorobutane,6
861,J,Trichloroethylene,6
862,J,2_2-Dichloro_diethyl_ether,5
863,J,Chlorobenzene,6
864,J,o-Dichlorobenzene,6
865,J,alpha-bromonaphtaline,6
866,J,Cyclohexylchloride,6
867,J,Benzene,6
868,J,Toluene,6
869,J,Xylene,5
870,J,Ethyl_benzene,6
871,J,Styrene,6
872,J,Tetralin,6
873,J,Hexane,6
874,J,Cyclohexane,6
875,J,Acetic_acid,1
876,J,Formic_acid_90,6
877,J,Butyric_acid,6
878,J,Benzaldehyde,1
879,J,Acetic_anhydride,1
880,K,Methanol ,6
881,K,Ethanol_96,6
882,K,Ethanol_99p9,6
883,K,n-Propanol,6
884,K,n-Butanol,6
885,K,Pentanol-1,6
886,K,2-Ethyl_butanol,6
887,K,2-Ethyl_hexanol,6
888,K,Methyl_isobutyl_carbinol,6
889,K,Propylene_glycol,6
890,K,Ethylene_glycol,6
891,K,1_3-Butandiol,6
892,K,Glycerol,6
893,K,Cyclohexanol,6
894,K,m-Cresol,6
895,K,Ethyl_lactate,5
896,K,n-Butyl_lactate,1
897,K,Diethylene_glycol,6
898,K,Dipropylene_glycol,6
899,K,2-Butoxyethanol,2
900,K,Methyl_dioxitol,4
901,K,Butyl_dioxitol,1
902,K,Oxitole,5
903,K,Diacetone_alcohol,3
904,K,Cellusolve_acetate,1
905,K,Methyl_Cellusolve,6
906,K,Diethyl_ether,6
907,K,Furan,3
908,K,Dioxane,1
