,solubility_category
985,soluble
986,non-soluble
987,non-soluble
988,theta
989,theta
990,theta
991,soluble
992,non-soluble
993,soluble
994,theta
995,soluble
996,non-soluble
997,theta
998,non-soluble
999,non-soluble
1000,non-soluble
1001,non-soluble
1002,non-soluble
1003,non-soluble
1004,non-soluble
1005,non-soluble
1006,non-soluble
1007,non-soluble
1008,non-soluble
1009,non-soluble
1010,non-soluble
1011,non-soluble
1012,non-soluble
1013,non-soluble
1014,non-soluble
1015,theta
1016,soluble
1017,non-soluble
1018,theta
1019,soluble
1020,soluble
1021,soluble
1022,soluble
1023,soluble
1024,soluble
1025,soluble
1026,soluble
1027,soluble
1028,soluble
1029,non-soluble
1030,non-soluble
1031,non-soluble
1032,non-soluble
1033,soluble
1034,soluble
1035,soluble
1036,soluble
1037,theta
1038,soluble
1039,soluble
1040,soluble
1041,soluble
1042,soluble
1043,soluble
1044,soluble
1045,soluble
1046,soluble
1047,soluble
1048,soluble
1049,soluble
1050,soluble
1051,soluble
1052,soluble
1053,soluble
1054,soluble
1055,soluble
1056,soluble
1057,soluble
1058,soluble
1059,soluble
1060,soluble
1061,soluble
1062,soluble
1063,soluble
1064,soluble
1065,soluble
1066,soluble
1067,soluble
1068,soluble
1069,soluble
1070,soluble
1071,soluble
1072,soluble
1073,soluble
1074,soluble
1075,soluble
1076,soluble
1077,soluble
1078,soluble
1079,soluble
1080,soluble
1081,soluble
1082,soluble
1083,soluble
1084,soluble
1085,soluble
1086,soluble
1087,soluble
1088,soluble
1089,soluble
1090,soluble
1091,soluble
1092,soluble
1093,soluble
1094,soluble
1095,soluble
1096,soluble
1097,soluble
1098,soluble
1099,soluble
1100,soluble
1101,non-soluble
1102,soluble
1103,soluble
1104,soluble
1105,soluble
1106,soluble
1107,soluble
1108,soluble
1109,soluble
1110,soluble
1111,non-soluble
1112,non-soluble
1113,non-soluble
1114,soluble
1115,soluble
1116,soluble
1117,non-soluble
1118,soluble
1119,soluble
1120,soluble
1121,soluble
1122,soluble
1123,soluble
1124,soluble
1125,soluble
1126,soluble
1127,soluble
1128,soluble
1129,soluble
1130,soluble
1131,non-soluble
1132,non-soluble
1133,soluble
1134,theta
1135,non-soluble
1136,non-soluble
1137,soluble
1138,soluble
1139,soluble
1140,soluble
1141,soluble
1142,soluble
1143,soluble
1144,non-soluble
1145,soluble
1146,soluble
1147,soluble
1148,soluble
1149,soluble
1150,soluble
1151,non-soluble
1152,non-soluble
1153,non-soluble
1154,non-soluble
1155,non-soluble
1156,non-soluble
1157,non-soluble
1158,soluble
1159,non-soluble
1160,soluble
1161,soluble
1162,soluble
1163,soluble
1164,soluble
1165,soluble
1166,non-soluble
1167,non-soluble
1168,non-soluble
1169,non-soluble
1170,non-soluble
1171,non-soluble
1172,non-soluble
1173,non-soluble
1174,non-soluble
1175,non-soluble
1176,non-soluble
1177,non-soluble
1178,non-soluble
1179,non-soluble
1180,non-soluble
1181,non-soluble
1182,non-soluble
1183,non-soluble
1184,non-soluble
1185,theta
1186,soluble
1187,non-soluble
1188,soluble
1189,soluble
1190,theta
1191,non-soluble
1192,non-soluble
1193,soluble
1194,soluble
1195,soluble
1196,soluble
1197,soluble
1198,soluble
1199,non-soluble
1200,non-soluble
1201,non-soluble
1202,non-soluble
1203,soluble
1204,soluble
1205,soluble
1206,soluble
1207,non-soluble
1208,non-soluble
1209,soluble
1210,soluble
1211,soluble
1212,soluble
1213,soluble
1214,soluble
1215,soluble
1216,soluble
1217,soluble
1218,soluble
1219,soluble
1220,soluble
1221,soluble
1222,theta
1223,non-soluble
1224,non-soluble
1225,theta
1226,soluble
1227,soluble
1228,soluble
1229,soluble
1230,soluble
1231,soluble
1232,soluble
1233,soluble
1234,soluble
1235,soluble
1236,soluble
1237,soluble
1238,soluble
1239,non-soluble
1240,non-soluble
1241,theta
